center,left,right,steering,throttle,reverse,speed
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_51_820.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_51_820.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_51_820.jpg,0.0,0.0,0.0,6.45472e-07
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_51_890.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_51_890.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_51_890.jpg,0.0,0.0,0.0,3.667826e-06
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_51_955.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_51_955.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_51_955.jpg,0.0,0.0,0.0,2.109483e-05
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_023.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_023.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_023.jpg,0.0,0.0,0.0,1.351461e-05
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_094.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_094.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_094.jpg,0.0,0.1102947,0.0,0.05091382
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_165.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_165.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_165.jpg,0.0,0.296475,0.0,0.1854406
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_232.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_232.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_232.jpg,0.0,0.5267621,0.0,0.5853807
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_300.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_300.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_300.jpg,0.0,0.7136537,0.0,1.035874
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_366.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_366.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_366.jpg,0.0,0.8880285,0.0,1.672092
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_436.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_436.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_436.jpg,0.0,1.0,0.0,2.595453
beta_simulator_windows/data/IMG/center_2023_11_29_12_25_52_504.jpg,beta_simulator_windows/data/IMG/left_2023_11_29_12_25_52_504.jpg,beta_simulator_windows/data/IMG/right_2023_11_29_12_25_52_504.jpg,0.0,1.0,0.0,3.298752
